* This is the database for everything related to the cave.
* There are 11 sections:
* 1: Full descriptions of cave locations
* 2: Short descriptions of cave locations
* 3: Traveling rules
* 4: Vocabulary
* 5: Objects
* 6: Arbitrary messages
* 7: Object locations
* 8: Action verb default messages
* 9: Liquid assets and hint conditions
* 10: Rankings of score
* 11: Hints index
*
* Each section begins with a line beginning the section number, and 
* ends with a line beginning with "-1".
* Lines beginning with "*" are treated as comments.
* 
* Section 1: Full descriptions of locations
* Each line starts with a location number followed by description text.
* The description can be multiple lines, in which case each line has
* the same location number.
*
1
1       You are standing at the end of a road before an old building.
1       Around you is a forest. A small stream flows out of the building and
1       down a gully.
2       You have walked up a hill, still in the forest. The road slopes back
2       down the other side of the hill. There is a building in the distance.
2       A path leaves the road to the west.
3       You are inside a building, a wellhouse for a large spring. On one
3       wall there is a tool rack with a sign above it that says:
3       "Please return all tools to the tool rack."
4       You are in a valley in the forest beside a stream tumbling along a
4       rocky bed.
5       You are in open forest, with a deep valley to one side.
6       You are in open forest near both a valley and a road.
7       At your feet all the water of the stream splashes into a 2-inch slit
7       in the rock. Downstream the streambed is bare rock.
8       You are in a 20-foot depression floored with bare dirt. Set into the
8       dirt is a strong steel grate mounted in concrete. A dry streambed
8       leads into the depression.
9       You are in a small chamber beneath a 3x3 steel grate to the surface.
9       A low crawl over cobbles leads inward to the west.
10      You are crawling over cobbles in a low passage. There is a dim light
10      at the east end of the passage.
11      You are on a path through an open forest. There is a shack in the
11      distance.
12      You are in front of an old miner's shack at the end of a path.
13      You are inside the shack.
14      You are in a splendid chamber thirty feet high. There are frozen rivers
14      of orange stone. At your feet is a small pit breathing traces of white
14      mist.
15      You are at one end of a vast hall stretching forward out of sight to
15      the west. There are openings to either side. Nearby, a wide stone
15      staircase leads downward. The hall is filled with wisps of white mist
15      swaying to and fro, almost as if alive. A cold wind blows up the
15      staircase. There is a passage at the top of a dome behind you.
16      >$<
17      >$<
18      This is a low room with a crude note on the wall. The note says,
18      "You won't get it up the steps."
19      You are in the Hall of the Mountain King, with passages off in all
19      directions.
20      You are at the bottom of the pit with a broken neck.
21      You didn't make it.
22      The dome is unclimbable.
23      You are at the west end of the twopit room. There is a large hole in
23      the wall above the pit at this end of the room.
24      You are at the bottom of the eastern pit in the twopit room. There is
24      a small pool of oil in one corner of the pit.
25      You are at the bottom of the western pit in the twopit room. There is
25      a large hole in the wall about 25 feet above you.
26      You clamber up the plant and scurry through the hole at the top.
27      You are on the west side of the fissure in the Hall of Mists.
28      You are in a low N/S passage at a hole in the floor. The hole goes
28      down to an E/W passage.
29      You are in the south side chamber.
30      You are in the west side chamber of the Hall of the Mountain King.
30      A passage continues west and up here.
31      >$<
32      You can't get by the snake.
33      You are in a large room, with a passage to the south, a passage to the
